src,dest,pathway
6456,1213,R-HSA-187037
6456,1173,R-HSA-187037
6457,1785,R-HSA-187037
6457,23237,R-HSA-187037
57498,5906,R-HSA-187037
26052,161,R-HSA-187037
26052,160,R-HSA-187037
26052,4803,R-HSA-187037
26052,4914,R-HSA-187037
26052,1211,R-HSA-187037
26052,1175,R-HSA-187037
26052,163,R-HSA-187037
26052,1213,R-HSA-187037
26052,1173,R-HSA-187037
26052,6456,R-HSA-187037
8660,4803,R-HSA-187037
8660,4914,R-HSA-187037
5348,476,R-HSA-5578775
5348,481,R-HSA-5578775
5348,478,R-HSA-5578775
5348,482,R-HSA-5578775
5348,477,R-HSA-5578775
5348,483,R-HSA-5578775
5348,480,R-HSA-5578775
10060,3767,R-HSA-5578775
476,481,R-HSA-5578775
476,482,R-HSA-5578775
476,483,R-HSA-5578775
801,816,R-HSA-5578775
805,816,R-HSA-5578775
808,816,R-HSA-5578775
801,818,R-HSA-5578775
805,818,R-HSA-5578775
808,818,R-HSA-5578775
801,817,R-HSA-5578775
805,817,R-HSA-5578775
808,817,R-HSA-5578775
801,815,R-HSA-5578775
805,815,R-HSA-5578775
808,815,R-HSA-5578775
478,481,R-HSA-5578775
478,482,R-HSA-5578775
478,483,R-HSA-5578775
5566,7137,R-HSA-5578775
5566,5350,R-HSA-5578775
6261,2281,R-HSA-5578775
6261,444,R-HSA-5578775
6261,10345,R-HSA-5578775
493,7137,R-HSA-5578775
493,5350,R-HSA-5578775
4842,7137,R-HSA-5578775
4842,493,R-HSA-5578775
4842,5350,R-HSA-5578775
477,481,R-HSA-5578775
477,482,R-HSA-5578775
477,483,R-HSA-5578775
486,476,R-HSA-5578775
486,481,R-HSA-5578775
486,478,R-HSA-5578775
486,482,R-HSA-5578775
486,477,R-HSA-5578775
486,483,R-HSA-5578775
486,480,R-HSA-5578775
53822,476,R-HSA-5578775
53822,481,R-HSA-5578775
53822,478,R-HSA-5578775
53822,482,R-HSA-5578775
53822,477,R-HSA-5578775
53822,483,R-HSA-5578775
53822,480,R-HSA-5578775
53828,476,R-HSA-5578775
53828,481,R-HSA-5578775
53828,478,R-HSA-5578775
53828,482,R-HSA-5578775
53828,477,R-HSA-5578775
53828,483,R-HSA-5578775
53828,480,R-HSA-5578775
2281,10345,R-HSA-5578775
1760,5350,R-HSA-5578775
444,2281,R-HSA-5578775
444,10345,R-HSA-5578775
818,816,R-HSA-5578775
818,815,R-HSA-5578775
817,816,R-HSA-5578775
817,815,R-HSA-5578775
6786,7220,R-HSA-5578775
6786,84876,R-HSA-5578775
6786,80228,R-HSA-5578775
480,481,R-HSA-5578775
480,482,R-HSA-5578775
480,483,R-HSA-5578775
3709,10768,R-HSA-5578775
3710,10768,R-HSA-5578775
3708,10768,R-HSA-5578775
5349,476,R-HSA-5578775
5349,481,R-HSA-5578775
5349,478,R-HSA-5578775
5349,482,R-HSA-5578775
5349,477,R-HSA-5578775
5349,483,R-HSA-5578775
5349,480,R-HSA-5578775
6263,2281,R-HSA-5578775
6263,444,R-HSA-5578775
6263,10345,R-HSA-5578775
6262,2281,R-HSA-5578775
6262,444,R-HSA-5578775
6262,10345,R-HSA-5578775
