Epoch 43 | Test_Loss  0.5301830522 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.726 | Test_Sens  0.722 | Test_Spec  0.716
Epoch 44 | Test_Loss  0.5230681456 | Test_ACC  0.667 | Test_AUC  0.774 | Test_F1_score  0.662 | Test_Sens  0.633 | Test_Spec  0.703
Epoch 45 | Test_Loss  0.5132240485 | Test_ACC  0.706 | Test_AUC  0.770 | Test_F1_score  0.694 | Test_Sens  0.646 | Test_Spec  0.770
Epoch 46 | Test_Loss  0.5325816986 | Test_ACC  0.641 | Test_AUC  0.751 | Test_F1_score  0.667 | Test_Sens  0.696 | Test_Spec  0.581
Epoch 47 | Test_Loss  0.5059280460 | Test_ACC  0.699 | Test_AUC  0.779 | Test_F1_score  0.705 | Test_Sens  0.696 | Test_Spec  0.703
Epoch 48 | Test_Loss  0.4976696916 | Test_ACC  0.706 | Test_AUC  0.763 | Test_F1_score  0.720 | Test_Sens  0.734 | Test_Spec  0.676
Epoch 49 | Test_Loss  0.5112642231 | Test_ACC  0.686 | Test_AUC  0.751 | Test_F1_score  0.696 | Test_Sens  0.696 | Test_Spec  0.676
Epoch 50 | Test_Loss  0.5186285351 | Test_ACC  0.680 | Test_AUC  0.730 | Test_F1_score  0.692 | Test_Sens  0.696 | Test_Spec  0.662
Epoch 51 | Test_Loss  0.5145935559 | Test_ACC  0.706 | Test_AUC  0.772 | Test_F1_score  0.710 | Test_Sens  0.696 | Test_Spec  0.716
Epoch 52 | Test_Loss  0.5014181306 | Test_ACC  0.706 | Test_AUC  0.756 | Test_F1_score  0.717 | Test_Sens  0.722 | Test_Spec  0.689
Epoch 53 | Test_Loss  0.5033028657 | Test_ACC  0.667 | Test_AUC  0.758 | Test_F1_score  0.705 | Test_Sens  0.772 | Test_Spec  0.554
Epoch 54 | Test_Loss  0.4816028994 | Test_ACC  0.693 | Test_AUC  0.771 | Test_F1_score  0.701 | Test_Sens  0.696 | Test_Spec  0.689
Epoch 55 | Test_Loss  0.4664226965 | Test_ACC  0.686 | Test_AUC  0.768 | Test_F1_score  0.721 | Test_Sens  0.785 | Test_Spec  0.581
Epoch 56 | Test_Loss  0.4743865379 | Test_ACC  0.699 | Test_AUC  0.766 | Test_F1_score  0.705 | Test_Sens  0.696 | Test_Spec  0.703
Epoch 57 | Test_Loss  0.4704009722 | Test_ACC  0.667 | Test_AUC  0.751 | Test_F1_score  0.675 | Test_Sens  0.671 | Test_Spec  0.662
Epoch 58 | Test_Loss  0.4629755849 | Test_ACC  0.699 | Test_AUC  0.757 | Test_F1_score  0.729 | Test_Sens  0.785 | Test_Spec  0.608
Epoch 59 | Test_Loss  0.4710136250 | Test_ACC  0.686 | Test_AUC  0.743 | Test_F1_score  0.721 | Test_Sens  0.785 | Test_Spec  0.581
Epoch 60 | Test_Loss  0.4976753508 | Test_ACC  0.693 | Test_AUC  0.783 | Test_F1_score  0.722 | Test_Sens  0.772 | Test_Spec  0.608
Epoch 61 | Test_Loss  0.4674335083 | Test_ACC  0.699 | Test_AUC  0.763 | Test_F1_score  0.709 | Test_Sens  0.709 | Test_Spec  0.689
Epoch 62 | Test_Loss  0.4610342079 | Test_ACC  0.699 | Test_AUC  0.776 | Test_F1_score  0.716 | Test_Sens  0.734 | Test_Spec  0.662
Epoch 63 | Test_Loss  0.4728945908 | Test_ACC  0.719 | Test_AUC  0.772 | Test_F1_score  0.736 | Test_Sens  0.759 | Test_Spec  0.676
Epoch 64 | Test_Loss  0.4691011413 | Test_ACC  0.667 | Test_AUC  0.758 | Test_F1_score  0.712 | Test_Sens  0.797 | Test_Spec  0.527
Epoch 65 | Test_Loss  0.4607266058 | Test_ACC  0.693 | Test_AUC  0.744 | Test_F1_score  0.708 | Test_Sens  0.722 | Test_Spec  0.662
Epoch 66 | Test_Loss  0.4479783048 | Test_ACC  0.647 | Test_AUC  0.758 | Test_F1_score  0.679 | Test_Sens  0.722 | Test_Spec  0.568
Epoch 67 | Test_Loss  0.4469779153 | Test_ACC  0.719 | Test_AUC  0.770 | Test_F1_score  0.726 | Test_Sens  0.722 | Test_Spec  0.716
Epoch 68 | Test_Loss  0.4284819818 | Test_ACC  0.667 | Test_AUC  0.751 | Test_F1_score  0.679 | Test_Sens  0.684 | Test_Spec  0.649
Epoch 69 | Test_Loss  0.4406105759 | Test_ACC  0.627 | Test_AUC  0.731 | Test_F1_score  0.671 | Test_Sens  0.734 | Test_Spec  0.514
Epoch 70 | Test_Loss  0.4567601830 | Test_ACC  0.673 | Test_AUC  0.760 | Test_F1_score  0.706 | Test_Sens  0.759 | Test_Spec  0.581
Epoch 71 | Test_Loss  0.4640537410 | Test_ACC  0.621 | Test_AUC  0.747 | Test_F1_score  0.681 | Test_Sens  0.785 | Test_Spec  0.446
Epoch 72 | Test_Loss  0.4400926764 | Test_ACC  0.686 | Test_AUC  0.772 | Test_F1_score  0.696 | Test_Sens  0.696 | Test_Spec  0.676
Epoch 73 | Test_Loss  0.4494345097 | Test_ACC  0.667 | Test_AUC  0.782 | Test_F1_score  0.709 | Test_Sens  0.785 | Test_Spec  0.541
Epoch 74 | Test_Loss  0.4439241316 | Test_ACC  0.673 | Test_AUC  0.746 | Test_F1_score  0.688 | Test_Sens  0.696 | Test_Spec  0.649
